MATERIALIZAÇÃO — 72 registros de /root/sti-graph-validation/resultados/rodada4-interface-fixa-2026-08-15/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.44 (planner + worker por registro)
[1/72] 00bubble_rep1.json: passos 7→7 | dicas 28 | erros 13 | valores ["1/5","5","5","1","1/5","1/5","ok"] | problema fixo: APROVADO
[13/72] 04soccerSeason_rep1.json: passos 6→6 | dicas 24 | erros 10 | valores ["3/4","4","4","3","3/4","3/4"] | problema fixo: APROVADO
[14/72] 04soccerSeason_rep2.json: passos 6→6 | dicas 24 | erros 16 | valores ["3/4","4","4","3","3/4","ok"] | problema fixo: APROVADO
[15/72] 04soccerSeason_rep3.json: passos 6→6 | dicas 24 | erros 9 | valores ["3/4","4","4","3","3/4","ok"] | problema fixo: APROVADO
[16/72] 05flu_rep1.json: passos 8→8 | dicas 32 | erros 22 | valores ["3/5","3/5","3/5","3","5","5","3/5","3/5"] | problema fixo: APROVADO
[17/72] 05flu_rep2.json: passos 7→7 | dicas 28 | erros 12 | valores ["3","5","3","5","5","3/5","3/5"] | problema fixo: APROVADO
[18/72] 05flu_rep3.json: passos 9→9 | dicas 36 | erros 12 | valores ["3/5","3","5","3","5","5","ok","3/5","ok"] | problema fixo: APROVADO
[19/72] 06lemonade_rep1.json: passos 5→6 | dicas 24 | erros 13 | valores ["2","7","7","2/7","2/7","2"] | problema fixo: APROVADO
[20/72] 06lemonade_rep2.json: passos 6→7 | dicas 28 | erros 10 | valores ["2/7","7","7","2","2/7","ok","2"] | problema fixo: APROVADO
[21/72] 06lemonade_rep3.json: passos 7→7 | dicas 28 | erros 17 | valores ["2","7","7","ok","2/7","2/7","done"] | problema fixo: APROVADO
[22/72] 07pizza_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["5","8","5","8","8","ok","5/8","ok"] | problema fixo: APROVADO
[23/72] 07pizza_rep2.json: passos 7→7 | dicas 28 | erros 14 | valores ["5","8","5","8","8","5/8","5/8"] | problema fixo: APROVADO
[24/72] 07pizza_rep3.json: passos 7→7 | dicas 28 | erros 11 | valores ["5/8","5","8","8","5/8","5/8","5/8"] | problema fixo: APROVADO
[25/72] 08dentists_rep1.json: passos 9→9 | dicas 36 | erros 13 | valores ["4/5","4","5","4","5","5","ok","4/5","ok"] | problema fixo: APROVADO
[26/72] 08dentists_rep2.json: passos 8→8 | dicas 32 | erros 20 | valores ["4/5","4","5","4","5","5","4/5","ok"] | problema fixo: APROVADO
[27/72] 08dentists_rep3.json: passos 8→8 | dicas 32 | erros 17 | valores ["4","5","4","5","5","ok","0.8","ok"] | problema fixo: REPROVADO ["0.8→0.8"]
[28/72] 09mathCompetition_rep1.json: passos 11→11 | dicas 44 | erros 26 | valores ["9/14","9","14","9","14","14","ok","9","9/14","maior que 1/2","ok"] | problema fixo: REPROVADO ["maiorque1/2→1","maiorque1/2→2"]
[29/72] 09mathCompetition_rep2.json: passos 9→9 | dicas 36 | erros 15 | valores ["9","14","9","14","14","ok","9/14","direita_de_1/2","concluido"] | problema fixo: REPROVADO ["direita_de_1/2→1","direita_de_1/2→2"]
[30/72] 09mathCompetition_rep3.json: passos 9→9 | dicas 36 | erros 11 | valores ["9","14","9","14","14","ok","9/14","9/14","ok"] | problema fixo: APROVADO
[31/72] 10children_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["2","3","2","3","3","ok","2/3","ok"] | problema fixo: APROVADO
[32/72] 10children_rep2.json: passos 8→8 | dicas 32 | erros 11 | valores ["2","3","2","3","3","OK","2/3","Done"] | problema fixo: APROVADO
[33/72] 10children_rep3.json: passos 7→7 | dicas 28 | erros 15 | valores ["2","3","2","3","3","2/3","ok"] | problema fixo: APROVADO
[34/72] 11project_rep1.json: passos 6→6 | dicas 24 | erros 12 | valores ["5","7","7","5/7","5/7","ok"] | problema fixo: APROVADO
[35/72] 11project_rep2.json: passos 7→7 | dicas 28 | erros 21 | valores ["5/7","5","7","7","5/7","5/7","concluído"] | problema fixo: APROVADO
[36/72] 11project_rep3.json: passos 7→7 | dicas 28 | erros 14 | valores ["5/7","7","5","7","5/7","5/7","concluído"] | problema fixo: APROVADO
[37/72] 12apples_rep1.json: passos 6→6 | dicas 24 | erros 6 | valores ["15","12","12","15/12","15/12","concluído"] | problema fixo: APROVADO
[38/72] 12apples_rep2.json: passos 6→6 | dicas 24 | erros 12 | valores ["15","12","12","1.25","1.25","ok"] | problema fixo: REPROVADO ["1.25→1.25","1.25→1.25"]
[39/72] 12apples_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["15/12","12","15","12","1.25","ok"] | problema fixo: REPROVADO ["1.25→1.25"]
[40/72] 13cleanRoom_rep1.json: passos 6→6 | dicas 24 | erros 14 | valores ["5","4","4","5/4","5/4","ok"] | problema fixo: APROVADO
[41/72] 13cleanRoom_rep2.json: passos 5→5 | dicas 20 | erros 8 | valores ["5","4","4","5/4","5/4"] | problema fixo: APROVADO
[42/72] 13cleanRoom_rep3.json: passos 5→5 | dicas 20 | erros 7 | valores ["5","4","4","5/4","5/4"] | problema fixo: APROVADO
[43/72] 14centimeter_rep1.json: passos 6→6 | dicas 24 | erros 10 | valores ["13","10","10","1.3","13/10","ok"] | problema fixo: REPROVADO ["1.3→1.3"]
[44/72] 14centimeter_rep2.json: passos 6→6 | dicas 24 | erros 11 | valores ["13","10","10","13/10","13/10","ok"] | problema fixo: APROVADO
[45/72] 14centimeter_rep3.json: passos 6→6 | dicas 24 | erros 11 | valores ["13","10","10","13/10","13/10","ok"] | problema fixo: APROVADO
[46/72] 15fishStick_rep1.json: passos 5→5 | dicas 20 | erros 6 | valores ["10","7","7","10/7","ok"] | problema fixo: APROVADO
[47/72] 15fishStick_rep2.json: passos 6→6 | dicas 24 | erros 9 | valores ["10","7","7","10/7","10/7","ok"] | problema fixo: APROVADO
[48/72] 15fishStick_rep3.json: passos 6→6 | dicas 24 | erros 8 | valores ["10","7","7","10/7","10/7","10/7"] | problema fixo: APROVADO
[49/72] 16bonusQuestion_rep1.json: passos 6→6 | dicas 24 | erros 8 | valores ["7","6","ok","ok","7/6","done"] | problema fixo: APROVADO
[50/72] 16bonusQuestion_rep2.json: passos 6→6 | dicas 24 | erros 7 | valores ["7","6","6","7/6","7/6","ok"] | problema fixo: APROVADO
[51/72] 16bonusQuestion_rep3.json: passos 6→6 | dicas 24 | erros 5 | valores ["7","6","6","ok","7/6","ok"] | problema fixo: APROVADO
[52/72] 17pencils_rep1.json: passos 6→6 | dicas 24 | erros 7 | valores ["17","12","12","17/12","17/12","ok"] | problema fixo: APROVADO
[53/72] 17pencils_rep2.json: passos 5→5 | dicas 20 | erros 7 | valores ["17","12","12","17/12","17"] | problema fixo: APROVADO
[54/72] 17pencils_rep3.json: passos 5→5 | dicas 20 | erros 6 | valores ["17","12","12","17/12","17"] | problema fixo: APROVADO
[55/72] 18gum_rep1.json: passos 8→8 | dicas 32 | erros 15 | valores ["11","11","6","11","6","6","11/6","ok"] | problema fixo: APROVADO
[56/72] 18gum_rep2.json: passos 7→7 | dicas 28 | erros 16 | valores ["11","6","11","6","11/6","11/6","ok"] | problema fixo: APROVADO
[57/72] 18gum_rep3.json: passos 9→9 | dicas 36 | erros 20 | valores ["11/6","11","6","11","6","6","11/6","11/6","11/6"] | problema fixo: APROVADO
[58/72] 19Painting_rep1.json: passos 7→7 | dicas 28 | erros 18 | valores ["5/4","4","5","4","1.25","5/4","ok"] | problema fixo: REPROVADO ["1.25→1.25"]
[59/72] 19Painting_rep2.json: passos 7→7 | dicas 28 | erros 18 | valores ["5/4","4","5","4","1.25","5/4","5/4"] | problema fixo: REPROVADO ["1.25→1.25"]
[60/72] 19Painting_rep3.json: passos 7→7 | dicas 28 | erros 16 | valores ["5/4","4","5","4","5/4","5/4","ok"] | problema fixo: APROVADO
[61/72] 20birthday_rep1.json: passos 8→8 | dicas 32 | erros 19 | valores ["15/8","15","8","15","8","8","15/8","15/8"] | problema fixo: APROVADO
[62/72] 20birthday_rep2.json: passos 8→8 | dicas 32 | erros 20 | valores ["15/8","15","8","15","8","8","15/8","ok"] | problema fixo: APROVADO
[63/72] 20birthday_rep3.json: passos 8→8 | dicas 32 | erros 18 | valores ["15/8","15","8","15","8","8","1.875","ok"] | problema fixo: REPROVADO ["1.875→1.875"]
[64/72] 21mnm_rep1.json: passos 8→8 | dicas 32 | erros 22 | valores ["1 e 1/3","4/3","3","3","4","4/3","4/3","ok"] | problema fixo: APROVADO
[65/72] 21mnm_rep2.json: passos 9→9 | dicas 36 | erros 26 | valores ["4/3","4/3","4/3","4/3","4","3","3","4/3","4/3"] | problema fixo: APROVADO
[66/72] 21mnm_rep3.json: passos 8→8 | dicas 32 | erros 17 | valores ["1 e 1/3","4/3","3","3","4","4/3","4/3","done"] | problema fixo: APROVADO
[67/72] 22biscuit_rep1.json: passos 8→8 | dicas 32 | erros 19 | valores ["3/2","3/2","3","2","2","3/2","3/2","ok"] | problema fixo: APROVADO
[68/72] 22biscuit_rep2.json: passos 8→8 | dicas 32 | erros 21 | valores ["3/2","3/2","3","2","2","3/2","3/2","3/2"] | problema fixo: APROVADO
[69/72] 22biscuit_rep3.json: passos 9→9 | dicas 36 | erros 13 | valores ["3/2","2/2","3","2","3","2","2","1.5","3/2"] | problema fixo: REPROVADO ["1.5→1.5"]
[70/72] 23textbookPack_rep1.json: passos 8→8 | dicas 32 | erros 17 | valores ["13","8","13","8","8","13/8","13/8","ok"] | problema fixo: APROVADO
[71/72] 23textbookPack_rep2.json: passos 8→8 | dicas 32 | erros 12 | valores ["13","8","13","8","8","13/8","1 5/8","ok"] | problema fixo: REPROVADO ["15/8→15"]
[72/72] 23textbookPack_rep3.json: passos 8→8 | dicas 32 | erros 13 | valores ["13","8","13","8","8","13/8","13/8","ok"] | problema fixo: APROVADO
✓ materialização: 72/72 registros em /root/sti-graph-validation/resultados/rodada4-interface-fixa-2026-08-15/materializado-v3-fixa-estudantes-qwen
EXIT=0
