MATERIALIZAÇÃO — 69 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.38 (planner + worker por registro)
[1/69] 00bubble_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["5/7","5","7","5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[20/69] 06boyschool_rep2.json: passos 8→8 | dicas 32 | erros 13 | valores ["3","3","5","3","5","3/5","Convert","0"] | problema fixo: REPROVADO ["0→0"]
[21/69] 06boyschool_rep3.json: passos 9→9 | dicas 36 | erros 17 | valores ["3","3","5","3","5","less_than_1","between_1/2_and_1","3/5","converted"] | problema fixo: REPROVADO ["less_than_1→1","between_1/2_and_1→1","between_1/2_and_1→2"]
[22/69] 07tomato_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["6","6","8","6","8","0.75","0.75","0"] | problema fixo: REPROVADO ["0.75→0.75","0.75→0.75","0→0"]
[23/69] 07tomato_rep2.json: passos 7→7 | dicas 28 | erros 16 | valores ["6","8","6","8","6/8","0","0"] | problema fixo: REPROVADO ["0→0","0→0"]
[24/69] 07tomato_rep3.json: passos 7→7 | dicas 28 | erros 16 | valores ["6/8","6","8","6","0;6;8","6/8","ok"] | problema fixo: REPROVADO ["0;6;8→0"]
[25/69] 08bowl_rep1.json: passos 8→8 | dicas 32 | erros 20 | valores ["5/10","5","10","5","10","5/10","0","0 5/10"] | problema fixo: REPROVADO ["0→0","05/10→05"]
[26/69] 08bowl_rep2.json: passos 8→8 | dicas 32 | erros 14 | valores ["5/10","5","10","5","10","0.5","0.5","converted"] | problema fixo: REPROVADO ["0.5→0.5","0.5→0.5"]
[27/69] 08bowl_rep3.json: passos 8→8 | dicas 32 | erros 19 | valores ["5/10","5","10","5","10","5/10","0.5","0"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[28/69] 09fence_rep1.json: passos 8→8 | dicas 32 | erros 19 | valores ["5","7","7","5","7","5/7","5/7","converted"] | problema fixo: APROVADO
[29/69] 09fence_rep2.json: passos 8→8 | dicas 32 | erros 11 | valores ["5","5","7","0","5","7","5/7","0 5/7"] | problema fixo: REPROVADO ["0→0","05/7→05"]
[30/69] 09fence_rep3.json: passos 8→8 | dicas 32 | erros 21 | valores ["5/7","5","7","5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[31/69] 10highlighters_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["10","9","10","9","10","0.9","0.9","converted"] | problema fixo: REPROVADO ["0.9→0.9","0.9→0.9"]
[32/69] 10highlighters_rep2.json: passos 8→8 | dicas 32 | erros 18 | valores ["9","9","10","9","10","0","0.9","0"] | problema fixo: REPROVADO ["0→0","0.9→0.9","0→0"]
[33/69] 10highlighters_rep3.json: passos 8→8 | dicas 32 | erros 14 | valores ["9","9","10","9","10","9","0.9","ok"] | problema fixo: REPROVADO ["0.9→0.9"]
[34/69] 11park_rep1.json: passos 8→8 | dicas 32 | erros 18 | valores ["2/4","2","4","2","4","2/4","yes","0"] | problema fixo: REPROVADO ["0→0"]
[35/69] 11park_rep2.json: passos 8→8 | dicas 32 | erros 22 | valores ["2/4","2","4","2","4","2/4","0","2/4"] | problema fixo: REPROVADO ["0→0"]
[36/69] 11park_rep3.json: passos 8→8 | dicas 32 | erros 14 | valores ["2/4","2","4","2","4","0.5","0","converted"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[37/69] 12park_rep1.json: passos 10→10 | dicas 40 | erros 29 | valores ["6/4","6","4","6","4","6/4","ok","1.5","1.5","ok"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5"]
[38/69] 12park_rep2.json: passos 10→10 | dicas 40 | erros 16 | valores ["6","6","4","6","4","1.5","convert","1 2/4","1.5","done"] | problema fixo: REPROVADO ["1.5→1.5","12/4→12","1.5→1.5"]
[39/69] 12park_rep3.json: passos 9→9 | dicas 36 | erros 18 | valores ["6/4","6","4","6","4","greater_than_1","1,2,4","6/4","ok"] | problema fixo: REPROVADO ["greater_than_1→1","1,2,4→1.2"]
[40/69] 13pizza_rep1.json: passos 7→7 | dicas 28 | erros 18 | valores ["9","9","6","9","converted","9/6","done"] | problema fixo: APROVADO
[41/69] 13pizza_rep2.json: passos 7→7 | dicas 28 | erros 18 | valores ["9/6","9","6","9","1 3/6","9/6","9/6"] | problema fixo: REPROVADO ["13/6→13"]
[42/69] 13pizza_rep3.json: passos 8→8 | dicas 32 | erros 18 | valores ["9","9","6","9","6","1.5","ok","1 3/6"] | problema fixo: REPROVADO ["1.5→1.5","13/6→13"]
[43/69] 14ex_rep1.json: passos 7→7 | dicas 28 | erros 18 | valores ["13/8","13","8","13/8","1 and 5/8","1.625","13/8"] | problema fixo: REPROVADO ["1.625→1.625"]
[44/69] 14ex_rep2.json: passos 8→8 | dicas 32 | erros 13 | valores ["13/8","13","8","13","8","1 and 5/8","13/8","13/8"] | problema fixo: APROVADO
[45/69] 14ex_rep3.json: passos 8→8 | dicas 32 | erros 15 | valores ["13/8","13","8","1","converted","13/8","13/8","done"] | problema fixo: APROVADO
[warn] Worker primario falhou; tentando fallback
[warn] Worker recuperado com fallback
[46/69] 15baseball_rep1.json: passos 10→10 | dicas 40 | erros 13 | valores ["10/9","10","9","10","9","10/9","1 1/9","10/9","10/9","ok"] | problema fixo: REPROVADO ["11/9→11"]
[47/69] 15baseball_rep2.json: passos 8→8 | dicas 32 | erros 17 | valores ["10","10","9","10/9","1 1/9","10/9","10/9","10/9"] | problema fixo: REPROVADO ["11/9→11"]
[48/69] 15baseball_rep3.json: passos 10→10 | dicas 40 | erros 11 | valores ["10/9","10","9","10","9","greater_than_1","1 1/9","1.11","10/9","ok"] | problema fixo: REPROVADO ["greater_than_1→1","11/9→11","1.11→1.11"]
[49/69] 16muffin_rep1.json: passos 8→8 | dicas 32 | erros 14 | valores ["23/12","23/12","23","12","23","12","23/12","ok"] | problema fixo: APROVADO
[50/69] 16muffin_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["1","23/12","23","12","23","12","23/12","ok"] | problema fixo: APROVADO
[51/69] 16muffin_rep3.json: passos 7→7 | dicas 28 | erros 9 | valores ["1","1 11/12","11","12","23/12","23","ok"] | problema fixo: REPROVADO ["111/12→111"]
[52/69] 17juice_rep1.json: passos 7→7 | dicas 28 | erros 14 | valores ["2","3","11","4","11/4","2.75","ok"] | problema fixo: REPROVADO ["2→2","2.75→2.75"]
[53/69] 17juice_rep2.json: passos 8→8 | dicas 32 | erros 25 | valores ["2","4","2 3/4","11","4","2.75","2 3/4","11/4"] | problema fixo: REPROVADO ["2→2","23/4→23","2.75→2.75"]
[54/69] 17juice_rep3.json: passos 8→8 | dicas 32 | erros 0 | valores ["11","4","11","4","11","4","11/4","2 3/4"] | problema fixo: REPROVADO ["23/4→23"]
[55/69] 18dozen_rep1.json: passos 10→10 | dicas 40 | erros 18 | valores ["33/12","33","12","33","12","2","converted","2 and 9/12","33/12","ok"] | problema fixo: APROVADO
[56/69] 18dozen_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["33/12","33","12","33","12","2.75","2 9/12","2"] | problema fixo: REPROVADO ["2.75→2.75","29/12→29"]
[57/69] 18dozen_rep3.json: passos 7→7 | dicas 28 | erros 11 | valores ["33","33","12","33","2","2+9/12","ok"] | problema fixo: REPROVADO []
[58/69] 19gum_rep1.json: passos 7→7 | dicas 28 | erros 11 | valores ["6","5","6/5","convert","1 1/5","6/5","done"] | problema fixo: REPROVADO ["11/5→11"]
[59/69] 19gum_rep2.json: passos 10→10 | dicas 40 | erros 14 | valores ["6/5","6","5","6/5","6/5","1 1/5","1,1,5","6/5","6/5","ok"] | problema fixo: REPROVADO ["11/5→11","1,1,5→1.1"]
[60/69] 19gum_rep3.json: passos 9→9 | dicas 36 | erros 16 | valores ["6/5","6","5","6","6/5","1 1/5","1","6/5","ok"] | problema fixo: REPROVADO ["11/5→11","1→1"]
[61/69] 20gum_rep1.json: passos 10→10 | dicas 40 | erros 17 | valores ["12/5","12","5","12/5","greater than 1","2 2/5","2 2/5","2.4","2.4","12/5"] | problema fixo: REPROVADO ["greaterthan1→1","22/5→22","22/5→22"]
[62/69] 20gum_rep2.json: passos 7→7 | dicas 28 | erros 12 | valores ["12/5","12","5","convert","2 2/5","2.4","done"] | problema fixo: REPROVADO ["22/5→22","2.4→2.4"]
[63/69] 20gum_rep3.json: passos 9→9 | dicas 36 | erros 20 | valores ["12","12","5","5","convert","2,2,5","2.4","2.4","done"] | problema fixo: REPROVADO ["2,2,5→2.2","2.4→2.4","2.4→2.4"]
[64/69] 21project_rep1.json: passos 9→9 | dicas 36 | erros 11 | valores ["9/7","9","7","7","greater_than_1","1 2/7","ok","1 2/7","ok"] | problema fixo: REPROVADO ["greater_than_1→1","12/7→12","12/7→12"]
[65/69] 21project_rep2.json: passos 10→10 | dicas 40 | erros 18 | valores ["9","9","7","9/7","greater_than_1","converted","1 2/7","1 2/7","9/7","done"] | problema fixo: REPROVADO ["greater_than_1→1","12/7→12","12/7→12"]
[66/69] 21project_rep3.json: passos 10→10 | dicas 40 | erros 23 | valores ["9","9","7","9/7","9/7","1 2/7","1,2,7","9/7","9/7","done"] | problema fixo: REPROVADO ["12/7→12","1,2,7→1.2"]
[67/69] 22water_rep1.json: passos 9→9 | dicas 36 | erros 16 | valores ["9","9","4","9/4","9/4","convert","2 1/4","2.25","done"] | problema fixo: REPROVADO ["21/4→21","2.25→2.25"]
[68/69] 22water_rep2.json: passos 10→10 | dicas 40 | erros 25 | valores ["9/4","9","4","9/4","greater_than_1","2 1/4","2 1/4","between_2_and_3","2.25","9/4"] | problema fixo: REPROVADO ["greater_than_1→1","21/4→21","21/4→21"]
[69/69] 22water_rep3.json: passos 10→10 | dicas 40 | erros 0 | valores ["9","9","4","4","9/4","2 1/4","2 1/4","9/4","9/4","done"] | problema fixo: REPROVADO ["21/4→21","21/4→21"]
✓ materialização: 69/69 registros em /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/materializado-v3-fixa-estudantes-qwen
EXIT=0
