MATERIALIZAÇÃO — 69 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.38 (planner + worker por registro)
[1/69] 00bubble_rep1.json: passos 8→8 | dicas 32 | erros 17 | valores ["5/7","5","7","5","7","5/7","5/7","0"] | problema fixo: REPROVADO ["0→0"]
[31/69] 10highlighters_rep1.json: passos 8→8 | dicas 32 | erros 12 | valores ["9","9","10","9","10","0.9","0","0 9/10"] | problema fixo: REPROVADO ["0.9→0.9","0→0","09/10→09"]
[32/69] 10highlighters_rep2.json: passos 8→8 | dicas 32 | erros 18 | valores ["9","9","10","9","10","9/10","0.9","0"] | problema fixo: REPROVADO ["0.9→0.9","0→0"]
[33/69] 10highlighters_rep3.json: passos 8→8 | dicas 32 | erros 17 | valores ["10","9","10","9","10","less_than_1","0.9","ok"] | problema fixo: REPROVADO ["less_than_1→1","0.9→0.9"]
[34/69] 11park_rep1.json: passos 8→8 | dicas 32 | erros 23 | valores ["2/4","2","4","2","4","2/4","2/4","0"] | problema fixo: REPROVADO ["0→0"]
[35/69] 11park_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["2","2","4","2","4","2/4","0 2/4","0"] | problema fixo: REPROVADO ["02/4→02","0→0"]
[36/69] 11park_rep3.json: passos 8→8 | dicas 32 | erros 15 | valores ["2/4","2","4","2","4","0.5","2/4","0"] | problema fixo: REPROVADO ["0.5→0.5","0→0"]
[37/69] 12park_rep1.json: passos 10→10 | dicas 40 | erros 33 | valores ["6/4","6","4","6","4","1.5","ok","1.5","1.5","ok"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5","1.5→1.5"]
[38/69] 12park_rep2.json: passos 10→10 | dicas 40 | erros 20 | valores ["6/4","6","4","6","4","6/4","convert","6/4","6/4","done"] | problema fixo: APROVADO
[39/69] 12park_rep3.json: passos 9→9 | dicas 36 | erros 15 | valores ["6/4","6","4","6","4","6/4","1 2/4","6/4","ok"] | problema fixo: REPROVADO ["12/4→12"]
[40/69] 13pizza_rep1.json: passos 7→7 | dicas 28 | erros 12 | valores ["9/6","9","6","9","ok","1.5","ok"] | problema fixo: REPROVADO ["1.5→1.5"]
[41/69] 13pizza_rep2.json: passos 7→7 | dicas 28 | erros 18 | valores ["9/6","9","6","9","convert","9/6","done"] | problema fixo: APROVADO
[42/69] 13pizza_rep3.json: passos 8→8 | dicas 32 | erros 17 | valores ["9/6","9","6","9","6","1.5","1.5","1"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5","1→1"]
[43/69] 14ex_rep1.json: passos 7→7 | dicas 28 | erros 20 | valores ["13/8","13","8","13/8","1 and 5/8","1.625","13/8"] | problema fixo: REPROVADO ["1.625→1.625"]
[44/69] 14ex_rep2.json: passos 8→8 | dicas 32 | erros 12 | valores ["13/8","13","8","13","8","1 5/8","1.625","13/8"] | problema fixo: REPROVADO ["15/8→15","1.625→1.625"]
[45/69] 14ex_rep3.json: passos 8→8 | dicas 32 | erros 15 | valores ["13/8","13","8","13/8","convert","13/8","1.625","done"] | problema fixo: REPROVADO ["1.625→1.625"]
[46/69] 15baseball_rep1.json: passos 10→10 | dicas 40 | erros 16 | valores ["10/9","10","9","10","9","10/9","1 1/9","10/9","10/9","ok"] | problema fixo: REPROVADO ["11/9→11"]
[47/69] 15baseball_rep2.json: passos 8→8 | dicas 32 | erros 11 | valores ["10","10","9","1","convert","10/9","10/9","done"] | problema fixo: REPROVADO ["1→1"]
[48/69] 15baseball_rep3.json: passos 10→10 | dicas 40 | erros 11 | valores ["10/9","10","9","10","9","1","1 1/9","1","10/9","ok"] | problema fixo: REPROVADO ["1→1","11/9→11","1→1"]
[49/69] 16muffin_rep1.json: passos 8→8 | dicas 32 | erros 10 | valores ["1 11/12","23/12","23","12","23","12","23/12","23/12"] | problema fixo: REPROVADO ["111/12→111"]
[50/69] 16muffin_rep2.json: passos 8→8 | dicas 32 | erros 13 | valores ["1","23/12","11","12","23","12","23/12","ok"] | problema fixo: APROVADO
[51/69] 16muffin_rep3.json: passos 7→7 | dicas 28 | erros 11 | valores ["1","convert","11","12","23/12","23","ok"] | problema fixo: APROVADO
[52/69] 17juice_rep1.json: passos 7→7 | dicas 28 | erros 15 | valores ["2","3","11","4","ok","11/4","ok"] | problema fixo: REPROVADO ["2→2"]
[53/69] 17juice_rep2.json: passos 8→8 | dicas 32 | erros 19 | valores ["2 3/4","2","11/4","11","4","2.75","3","ok"] | problema fixo: REPROVADO ["23/4→23","2→2","2.75→2.75"]
[54/69] 17juice_rep3.json: passos 8→8 | dicas 32 | erros 0 | valores ["11","4","11","4","11","4","11/4","ok"] | problema fixo: APROVADO
[55/69] 18dozen_rep1.json: passos 10→10 | dicas 40 | erros 19 | valores ["33/12","33","12","33","12","2","2 and 9/12","2 and 9/12","2.75","ok"] | problema fixo: REPROVADO ["2.75→2.75"]
[56/69] 18dozen_rep2.json: passos 8→8 | dicas 32 | erros 13 | valores ["33","33","12","33","12","33/12","2 and 9/12","2"] | problema fixo: APROVADO
[57/69] 18dozen_rep3.json: passos 7→7 | dicas 28 | erros 11 | valores ["33","12","12","33","2 9/12","2.75","ok"] | problema fixo: REPROVADO ["29/12→29","2.75→2.75"]
[58/69] 19gum_rep1.json: passos 7→7 | dicas 28 | erros 10 | valores ["6","5","6/5","convert","1,1,5","1.2","done"] | problema fixo: REPROVADO ["1,1,5→1.1","1.2→1.2"]
[59/69] 19gum_rep2.json: passos 10→10 | dicas 40 | erros 16 | valores ["6","6","5","6/5","6/5","1 1/5","1 1/5","1 1/5","6/5","ok"] | problema fixo: REPROVADO ["11/5→11","11/5→11","11/5→11"]
[60/69] 19gum_rep3.json: passos 9→9 | dicas 36 | erros 19 | valores ["6/5","6","5","6/5","6/5","1 1/5","1,1,5","1.2","ok"] | problema fixo: REPROVADO ["11/5→11","1,1,5→1.1","1.2→1.2"]
[61/69] 20gum_rep1.json: passos 10→10 | dicas 40 | erros 16 | valores ["12","12","5","12/5","12/5","2 2/5","2","2.4","2.4","ok"] | problema fixo: REPROVADO ["22/5→22","2→2","2.4→2.4"]
[62/69] 20gum_rep2.json: passos 7→7 | dicas 28 | erros 11 | valores ["12","12","5","greater_than_1","convert","2.4","done"] | problema fixo: REPROVADO ["greater_than_1→1","2.4→2.4"]
[63/69] 20gum_rep3.json: passos 9→9 | dicas 36 | erros 20 | valores ["12/5","12","5","12/5","Convert","2 2/5","2.4","2.4","Done"] | problema fixo: REPROVADO ["22/5→22","2.4→2.4","2.4→2.4"]
[64/69] 21project_rep1.json: passos 9→9 | dicas 36 | erros 14 | valores ["9/7","9","7","9/7","greater_than_1","1 2/7","m1=1,m2=2,m3=7","9/7","completed"] | problema fixo: REPROVADO ["greater_than_1→1","12/7→12","m1=1,m2=2,m3=7→1"]
[65/69] 21project_rep2.json: passos 10→10 | dicas 40 | erros 22 | valores ["9","9","7","9/7","9/7","convert","1 2/7","1.2857142857","1.2857142857","done"] | problema fixo: REPROVADO ["12/7→12","1.2857142857→1.2857142857","1.2857142857→1.2857142857"]
[66/69] 21project_rep3.json: passos 10→10 | dicas 40 | erros 21 | valores ["9","9","7","9/7","1","convert","1 2/7","1 2/7","1 2/7","done"] | problema fixo: REPROVADO ["1→1","12/7→12","12/7→12"]
[67/69] 22water_rep1.json: passos 9→9 | dicas 36 | erros 18 | valores ["9/4","9","4","9/4","9/4","converted","2 1/4","2.25","done"] | problema fixo: REPROVADO ["21/4→21","2.25→2.25"]
[68/69] 22water_rep2.json: passos 10→10 | dicas 40 | erros 26 | valores ["9","9","4","9/4","greater than 1","2 1/4","2 1/4","2.25","2.25","ok"] | problema fixo: REPROVADO ["greaterthan1→1","21/4→21","21/4→21"]
[69/69] 22water_rep3.json: passos 10→10 | dicas 40 | erros 0 | valores ["9","9","4","4","converted","2","2 1/4","2.25","2.25","completed"] | problema fixo: REPROVADO ["2→2","21/4→21","2.25→2.25"]
✓ materialização: 69/69 registros em /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.19/materializado-v2-fixa-estudantes-qwen
EXIT=0
