MATERIALIZAÇÃO — 60 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.18/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.20 (planner + worker por registro)
[1/60] 01_1_rep1.json: passos 7→7 | dicas 28 | erros 11 | valores ["1/4","1/4","8","2/8","2","=","ok"] | problema fixo: APROVADO
[16/60] 06_1_rep1.json: passos 8→8 | dicas 32 | erros 12 | valores ["5/10","1/2","4","2/4","2/4","2","=","Done"] | problema fixo: APROVADO
[17/60] 06_1_rep2.json: passos 7→7 | dicas 28 | erros 5 | valores ["5/10","1/2","4","2/4","2","=","ok"] | problema fixo: APROVADO
[18/60] 06_1_rep3.json: passos 7→7 | dicas 28 | erros 13 | valores ["5/10","1/2","4","2/4","2","=","ok"] | problema fixo: APROVADO
[19/60] 07_2_rep1.json: passos 8→8 | dicas 32 | erros 6 | valores ["4/12","4/12","9","4/9","≠","≠","4","4/9"] | problema fixo: APROVADO
[20/60] 07_2_rep2.json: passos 8→8 | dicas 32 | erros 14 | valores ["4/12","1/3","9","4/9","different","≠","4","4/9"] | problema fixo: REPROVADO ["1/3→3"]
[21/60] 07_2_rep3.json: passos 9→9 | dicas 36 | erros 16 | valores ["4/12","4/12","9","9","4/9","different","≠","4","ok"] | problema fixo: APROVADO
[22/60] 08_2_rep1.json: passos 9→9 | dicas 36 | erros 14 | valores ["6/10","6/10","Line 2","5","4/5","=","=","4","ok"] | problema fixo: APROVADO
[23/60] 08_2_rep2.json: passos 9→9 | dicas 36 | erros 17 | valores ["both_less_than_1","0.6","start","5","0.8","coincident","=","4","4/5"] | problema fixo: REPROVADO ["0.6→0.6","0.8→0.8"]
[24/60] 08_2_rep3.json: passos 8→8 | dicas 32 | erros 0 | valores ["6/10","6/10","5","4/5","same position","=","4","ok"] | problema fixo: APROVADO
[25/60] 09_1_rep1.json: passos 7→7 | dicas 28 | erros 9 | valores ["6/18","1/3","12","4/12","4","=","ok"] | problema fixo: REPROVADO ["1/3→3"]
[26/60] 09_1_rep2.json: passos 7→7 | dicas 28 | erros 7 | valores ["6/18","1/3","12","4/12","4","=","ok"] | problema fixo: REPROVADO ["1/3→3"]
[27/60] 09_1_rep3.json: passos 7→7 | dicas 28 | erros 0 | valores ["6/18","1/3","12","4/12","4","=","ok"] | problema fixo: REPROVADO ["1/3→3"]
[28/60] 10_2_rep1.json: passos 8→8 | dicas 32 | erros 12 | valores ["3/9","1/3","6","2/6","same_position","=","2","Done"] | problema fixo: APROVADO
[29/60] 10_2_rep2.json: passos 8→8 | dicas 32 | erros 9 | valores ["3/9","1/3","6","2/6","same position","=","2","ok"] | problema fixo: APROVADO
[30/60] 10_2_rep3.json: passos 8→8 | dicas 32 | erros 0 | valores ["3/9","1/3","6","2/6","same position","2","=","ok"] | problema fixo: APROVADO
[31/60] 11_1_rep1.json: passos 8→8 | dicas 32 | erros 15 | valores ["20/10","2","14/7","7","2","14","=","ok"] | problema fixo: APROVADO
[32/60] 11_1_rep2.json: passos 8→8 | dicas 32 | erros 18 | valores ["20/10","2","14/7","7","2","14","=","ok"] | problema fixo: APROVADO
[33/60] 11_1_rep3.json: passos 8→8 | dicas 32 | erros 9 | valores ["20/10","2","14/7","7","14/7","14","=","ok"] | problema fixo: APROVADO
[34/60] 12_1_rep1.json: passos 7→7 | dicas 28 | erros 12 | valores ["3/2","3/2","6","9/6","9","=","ok"] | problema fixo: APROVADO
[35/60] 12_1_rep2.json: passos 7→7 | dicas 28 | erros 9 | valores ["3/2","greater_than_1","6","9/6","9","=","ok"] | problema fixo: APROVADO
[36/60] 12_1_rep3.json: passos 8→8 | dicas 32 | erros 12 | valores ["2","3/2","6","6","9/6","9","=","done"] | problema fixo: APROVADO
[37/60] 13_2_rep1.json: passos 9→9 | dicas 36 | erros 13 | valores ["3/4,12/16","3/4","Line 2","16","12/16","same position","12","=","12/16"] | problema fixo: REPROVADO ["3/4,12/16→4.12"]
[38/60] 13_2_rep2.json: passos 7→7 | dicas 28 | erros 11 | valores ["3/4","16","12/16","aligned","12","=","12/16"] | problema fixo: APROVADO
[39/60] 13_2_rep3.json: passos 7→7 | dicas 28 | erros 12 | valores ["3/4","16","12/16","=","12","=","12/16"] | problema fixo: APROVADO
[40/60] 14_2_rep1.json: passos 6→6 | dicas 24 | erros 11 | valores ["13/8","between 1 and 2","4","1.75","≠","7"] | problema fixo: REPROVADO ["1.75→1.75"]
[41/60] 14_2_rep2.json: passos 9→9 | dicas 36 | erros 5 | valores ["different","13/8","Line 2","4","7/4","different","≠","7","7/4"] | problema fixo: APROVADO
[42/60] 14_2_rep3.json: passos 10→10 | dicas 40 | erros 12 | valores ["13/8","8","7/4","4","4","7/4","13/8","≠","7","Done"] | problema fixo: APROVADO
[43/60] 15_1_rep1.json: passos 8→8 | dicas 32 | erros 12 | valores ["8/6","8/6","4/3","3","4/3","4","=","ok"] | problema fixo: APROVADO
[44/60] 15_1_rep2.json: passos 7→7 | dicas 28 | erros 13 | valores ["8/6","4/3","3","4/3","4","=","ok"] | problema fixo: APROVADO
[45/60] 15_1_rep3.json: passos 7→7 | dicas 28 | erros 0 | valores ["8/6","4/3","3","4/3","4","=","ok"] | problema fixo: APROVADO
[46/60] 16_1_rep1.json: passos 8→8 | dicas 32 | erros 13 | valores ["8/6","4/3","9","4/3","12/9","12","=","ok"] | problema fixo: REPROVADO ["4/3→4","4/3→3","4/3→4"]
[47/60] 16_1_rep2.json: passos 8→8 | dicas 32 | erros 15 | valores ["8/6","4/3","3","9","12/9","12","=","ok"] | problema fixo: REPROVADO ["4/3→4","4/3→3","3→3"]
[48/60] 16_1_rep3.json: passos 9→9 | dicas 36 | erros 18 | valores ["8/6","4/3","3","12","9","12/9","12","=","ok"] | problema fixo: REPROVADO ["4/3→4","4/3→3","3→3"]
[49/60] 17_2_rep1.json: passos 9→9 | dicas 36 | erros 15 | valores ["12/8","4","3/2","2","3/2","same location","3","=","ok"] | problema fixo: REPROVADO ["4→4"]
[50/60] 17_2_rep2.json: passos 8→8 | dicas 32 | erros 11 | valores ["12/8","3/2","2","3/2","same position","3","=","ok"] | problema fixo: APROVADO
[51/60] 17_2_rep3.json: passos 10→10 | dicas 40 | erros 13 | valores ["12/8","3/2","0-2","2","1-2","3/2","1.5","3","=","ok"] | problema fixo: REPROVADO ["0-2→0","0-2→-2","1-2→-2"]
[52/60] 18_2_rep1.json: passos 11→11 | dicas 44 | erros 19 | valores ["7/4","7/4","21/12","12","12","21/12","21/12","=","=","21","21/12"] | problema fixo: APROVADO
[53/60] 18_2_rep2.json: passos 10→10 | dicas 40 | erros 18 | valores ["7/4","1.75","7/4","12","12","21/12","same","=","21","21/12"] | problema fixo: REPROVADO ["1.75→1.75"]
[54/60] 18_2_rep3.json: passos 11→11 | dicas 44 | erros 20 | valores ["7/4","7/4","21/12","12","12","7/4","21/12","=","21","=","ok"] | problema fixo: APROVADO
[55/60] 19_1_rep1.json: passos 8→8 | dicas 32 | erros 9 | valores ["9/6","3/2","6/4","4","6/4","6","=","ok"] | problema fixo: REPROVADO ["3/2→3"]
[56/60] 19_1_rep2.json: passos 7→7 | dicas 28 | erros 15 | valores ["9/6","1.5","4","1.5","6","=","done"] | problema fixo: REPROVADO ["1.5→1.5","1.5→1.5"]
[57/60] 19_1_rep3.json: passos 7→7 | dicas 28 | erros 13 | valores ["9/6","1 1/2","4","6/4","6","=","ok"] | problema fixo: REPROVADO ["11/2→11"]
[58/60] 20_2_rep1.json: passos 9→9 | dicas 36 | erros 21 | valores ["12/9","4/3","6","6","10/6","different_positions","≠","10","10/6"] | problema fixo: REPROVADO ["4/3→4","4/3→3"]
[59/60] 20_2_rep2.json: passos 10→10 | dicas 40 | erros 17 | valores ["12/9","4/3","10/6","6","5/3","10/6","≠","≠","10/6","10"] | problema fixo: REPROVADO ["4/3→4","4/3→3","5/3→5"]
[60/60] 20_2_rep3.json: passos 10→10 | dicas 40 | erros 20 | valores ["12/9","4/3","6","6","10/6","10/6","≠","≠","10","10/6"] | problema fixo: REPROVADO ["4/3→4","4/3→3"]
✓ materialização: 60/60 registros em /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/6.18/materializado-v2-fixa-estudantes-qwen
EXIT=0
