MATERIALIZAÇÃO — 57 registros de /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/8.12/fixa-estudantes-qwen/runs
  modelo do papel materializacao: openai/gpt-5.6-luna | estimativa ~US$ 1.14 (planner + worker por registro)
[1/57] CD sales_rep1.json: passos 12→12 | dicas 48 | erros 23 | valores ["5000","5000","25","4","÷","÷","50","100","0.5","0.08","100","50"] | problema fixo: REPROVADO ["100→100","0.5→0.5","0.08→0.08"]
[16/57] concert_rep1.json: passos 10→10 | dicas 40 | erros 17 | valores ["6000","6000","30","6000","÷,÷","0,5","÷,÷","30","÷,÷;60,60","100"] | problema fixo: REPROVADO ["0,5→0.5","÷,÷;60,60→60.60","100→100"]
[17/57] concert_rep2.json: passos 18→18 | dicas 72 | erros 23 | valores ["6000","6000","30","6000","÷","÷","÷","÷","60","60","1","100","0.5","30","30","100","ok","ok"] | problema fixo: REPROVADO ["100→100","0.5→0.5","100→100"]
[18/57] concert_rep3.json: passos 12→12 | dicas 48 | erros 2 | valores ["6000","6000","30","6000","÷","÷","60","60","0.5","30","30","ok"] | problema fixo: REPROVADO ["0.5→0.5"]
[19/57] cookies_rep1.json: passos 11→11 | dicas 44 | erros 3 | valores ["200","100","÷","100","310","÷","155","27","÷","13.5","done"] | problema fixo: REPROVADO ["100→100","100→100","155→155"]
[20/57] cookies_rep2.json: passos 12→12 | dicas 48 | erros 17 | valores ["200","200","2","100","310","÷","155","27","173","÷","86.5","ok"] | problema fixo: REPROVADO ["100→100","155→155","27→27"]
[21/57] cookies_rep3.json: passos 11→11 | dicas 44 | erros 3 | valores ["part1","200","÷","100","310","÷","155","283","÷","141.5","2"] | problema fixo: REPROVADO ["100→100","155→155","141.5→141.5"]
[22/57] deer in garden_rep1.json: passos 10→10 | dicas 40 | erros 1 | valores ["25","25","15","7","×","4","100","60","28","ok"] | problema fixo: REPROVADO ["100→100","60→60","28→28"]
[23/57] deer in garden_rep2.json: passos 11→11 | dicas 44 | erros 20 | valores ["25","25","15","7","×","4","4","60","4","28","ok"] | problema fixo: REPROVADO ["60→60","28→28"]
[24/57] deer in garden_rep3.json: passos 10→10 | dicas 40 | erros 14 | valores ["25","25","15","7","×","4","60","28","100","ok"] | problema fixo: REPROVADO ["60→60","28→28","100→100"]
[25/57] double-booked plane_rep1.json: passos 11→11 | dicas 44 | erros 13 | valores ["150","150","1.5","100","180","÷","120","225","÷","150","ok"] | problema fixo: REPROVADO ["100→100","120→120"]
[26/57] double-booked plane_rep2.json: passos 11→11 | dicas 44 | erros 6 | valores ["150","150","0.6666666667","100","180","×","120","225","×","150","1.5"] | problema fixo: REPROVADO ["0.6666666667→0.6666666667","100→100","120→120"]
[27/57] double-booked plane_rep3.json: passos 11→11 | dicas 44 | erros 21 | valores ["150","150","÷","100","180","÷","120","225","÷","150","1.5"] | problema fixo: REPROVADO ["100→100","120→120"]
[28/57] kennel_rep1.json: passos 12→12 | dicas 48 | erros 8 | valores ["25","25","28","7","×","4","×","4","×","4","100","ok"] | problema fixo: REPROVADO ["100→100"]
[29/57] kennel_rep2.json: passos 9→9 | dicas 36 | erros 19 | valores ["25","25","28","7","×","4","112","4","4"] | problema fixo: REPROVADO ["112→112"]
[30/57] kennel_rep3.json: passos 10→10 | dicas 40 | erros 15 | valores ["25","25","28","7","×","4","112","28","100","4"] | problema fixo: REPROVADO ["112→112","100→100"]
[31/57] mileage_rep1.json: passos 12→12 | dicas 48 | erros 13 | valores ["5000","5000","1200","4050","÷","50","24","81","÷","100","24","50"] | problema fixo: REPROVADO ["24→24","81→81","100→100"]
[32/57] mileage_rep2.json: passos 12→12 | dicas 48 | erros 17 | valores ["5000","5000","1200","4050","÷","50","50","24","50","81","50","50"] | problema fixo: REPROVADO ["24→24","81→81"]
[33/57] mileage_rep3.json: passos 10→10 | dicas 40 | erros 18 | valores ["5000","5000","1200","4050","÷","100","24","81","81","50"] | problema fixo: REPROVADO ["100→100","24→24","81→81"]
[34/57] office picnic_rep1.json: passos 12→12 | dicas 48 | erros 20 | valores ["400","400","163","78","÷","4","40.75","4","19.5","4","100","ok"] | problema fixo: REPROVADO ["40.75→40.75","19.5→19.5","100→100"]
[35/57] office picnic_rep2.json: passos 17→17 | dicas 68 | erros 4 | valores ["400","400","163","78","÷","÷","÷","÷","4","4","4","4","100","40.75","19.5","100%","4"] | problema fixo: REPROVADO ["100→100","40.75→40.75","19.5→19.5"]
[36/57] office picnic_rep3.json: passos 10→10 | dicas 40 | erros 10 | valores ["400","400","163","78","÷","4","40.75","19.5","100","40.75"] | problema fixo: REPROVADO ["40.75→40.75","19.5→19.5","100→100"]
[37/57] pizza party_rep1.json: passos 15→15 | dicas 60 | erros 18 | valores ["20","20","×","5","100","6","5","5","30","0.5","5","5","2.5","30/100","ok"] | problema fixo: REPROVADO ["100→100","30→30","0.5→0.5"]
[38/57] pizza party_rep2.json: passos 16→16 | dicas 64 | erros 13 | valores ["20","20","6","0.5","×","×","×","×","5","5","5","5","100","30","2.5","5"] | problema fixo: REPROVADO ["0.5→0.5","100→100","30→30"]
[39/57] pizza party_rep3.json: passos 12→12 | dicas 48 | erros 19 | valores ["20","20","6","0.5","×","100","×","30","×","2.5","5","ok"] | problema fixo: REPROVADO ["0.5→0.5","100→100","30→30"]
[40/57] shed_rep1.json: passos 12→12 | dicas 48 | erros 0 | valores ["25","25","4","100","30","4","120","5","4","20","4","4"] | problema fixo: REPROVADO ["100→100","120→120","20→20"]
[41/57] shed_rep2.json: passos 11→11 | dicas 44 | erros 11 | valores ["25","30","5","25","×","120","×","20","×","4","100"] | problema fixo: REPROVADO ["120→120","20→20","100→100"]
[42/57] shed_rep3.json: passos 11→11 | dicas 44 | erros 19 | valores ["25","30","5","25","×","4","×","4","×","4","100"] | problema fixo: REPROVADO ["100→100"]
[43/57] stick house_rep1.json: passos 11→11 | dicas 44 | erros 13 | valores ["4000","8","÷","40","0.2","5000","÷","40","125","4000","ok"] | problema fixo: REPROVADO ["0.2→0.2","125→125"]
[44/57] stick house_rep2.json: passos 9→9 | dicas 36 | erros 18 | valores ["4000","8","÷","0.2%","5000","÷","125%","100%","40"] | problema fixo: REPROVADO ["0.2%→0.2","125%→125","100%→100"]
[45/57] stick house_rep3.json: passos 10→10 | dicas 40 | erros 18 | valores ["4000","8","÷","0.2","5000","÷","125","40","100","40"] | problema fixo: REPROVADO ["0.2→0.2","125→125","100→100"]
[46/57] texting_rep1.json: passos 15→15 | dicas 60 | erros 28 | valores ["6100","6100","2257","6100","÷","÷","61","÷","÷","61","100","37","19","100","done"] | problema fixo: REPROVADO ["100→100","37→37","19→19"]
[47/57] texting_rep2.json: passos 17→17 | dicas 68 | erros 23 | valores ["6100","6100","2257","6100","÷","÷","÷","÷","61","61","61","100","37","19","37","37","61"] | problema fixo: REPROVADO ["100→100","37→37","19→19"]
[48/57] texting_rep3.json: passos 12→12 | dicas 48 | erros 17 | valores ["6100","6100","2257","6100","÷","÷,÷,÷,÷,÷,÷","1/61","61,61,61,61,61,61","100","37","19","61"] | problema fixo: REPROVADO ["61,61,61,61,61,61→61.61","61,61,61,61,61,61→61.61","61,61,61,61,61,61→61.61"]
[49/57] toy robot_rep1.json: passos 12→12 | dicas 48 | erros 19 | valores ["230","230","69","23","÷","2.3","÷","2.3","÷","2.3","10","ok"] | problema fixo: REPROVADO ["10→10"]
[50/57] toy robot_rep2.json: passos 12→12 | dicas 48 | erros 20 | valores ["230","230","69","230","2.3","100","2.3","30","2.3","10","2.3","ok"] | problema fixo: REPROVADO ["100→100","30→30","10→10"]
[51/57] toy robot_rep3.json: passos 19→19 | dicas 76 | erros 22 | valores ["230","230","69","23","÷","÷","÷","÷","2.3","same_divisor","2.3","0.69","0.23","100","30","10","100","coherent","ok"] | problema fixo: REPROVADO ["0.69→0.69","0.23→0.23","100→100"]
[52/57] tree height_rep1.json: passos 11→11 | dicas 44 | erros 16 | valores ["10","10","10","100","30","×","300","8","×","80","ok"] | problema fixo: REPROVADO ["100→100","300→300","80→80"]
[53/57] tree height_rep2.json: passos 11→11 | dicas 44 | erros 0 | valores ["10","30","8","10","×","10","×","10","×","10","100"] | problema fixo: REPROVADO ["100→100"]
[54/57] tree height_rep3.json: passos 9→9 | dicas 36 | erros 5 | valores ["10","100","30","×","300","8","×","10","80%"] | problema fixo: REPROVADO ["100→100","300→300","80%→80"]
[55/57] widgets_rep1.json: passos 10→10 | dicas 40 | erros 11 | valores ["20000","20000","15","20000","÷","200","÷","200","÷","200"] | problema fixo: REPROVADO ["20000→20000","20000→20000","20000→20000"]
[56/57] widgets_rep2.json: passos 12→12 | dicas 48 | erros 18 | valores ["20000","20000","15","100","÷","÷","200","200","200","200","0.5","done"] | problema fixo: REPROVADO ["20000→20000","20000→20000","0.5→0.5"]
[57/57] widgets_rep3.json: passos 11→11 | dicas 44 | erros 15 | valores ["20000","20000","15","100","200","100","200","0.075","200","÷","200"] | problema fixo: REPROVADO ["20000→20000","20000→20000","0.075→0.075"]
✓ materialização: 57/57 registros em /root/sti-graph-validation/resultados/bloco1-mathtutor-2026-08-16/8.12/materializado-v2-fixa-estudantes-qwen
EXIT=0
