JUIZ DOS EXTRAS (materializado) — 210 exercício×braço, 2104 extras, 3600 itens a julgar
  juiz: deepseek/deepseek-v4-flash | custo estimado ~US$ 3.64
  [19/210] 6.17/custo-beneficio/18gum: 5 extras, 3 válidos | precisão 0.38 → 0.75
  [20/210] 6.17/custo-beneficio/21mnm: 3 extras, 3 válidos | precisão 0.50 → 1.00
  [21/210] 6.17/custo-beneficio/19Painting: 5 extras, 3 válidos | precisão 0.38 → 0.75
  [22/210] 6.17/custo-beneficio/20birthday: 4 extras, 3 válidos | precisão 0.43 → 0.86
  [23/210] 6.17/estudantes-qwen/00bubble: 8 extras, 3 válidos | precisão 0.20 → 0.50
  [24/210] 6.17/custo-beneficio/23textbookPack: 3 extras, 2 válidos | precisão 0.57 → 0.86
  [25/210] 6.17/estudantes-qwen/01watermelon: 7 extras, 2 válidos | precisão 0.22 → 0.44
  [26/210] 6.17/estudantes-qwen/02watermelon: 5 extras, 4 válidos | precisão 0.38 → 0.88
  [27/210] 6.17/estudantes-qwen/03summerBooks: 7 extras, 4 válidos | precisão 0.22 → 0.67
  [28/210] 6.17/custo-beneficio/22biscuit: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [29/210] 6.17/estudantes-qwen/05flu: 8 extras, 6 válidos | precisão 0.27 → 0.82
  [30/210] 6.17/estudantes-qwen/06lemonade: 11 extras, 4 válidos | precisão 0.21 → 0.50
  [31/210] 6.17/estudantes-qwen/04soccerSeason: 7 extras, 3 válidos | precisão 0.30 → 0.60
  [32/210] 6.17/estudantes-qwen/07pizza: 5 extras, 4 válidos | precisão 0.38 → 0.88
  [33/210] 6.17/estudantes-qwen/08dentists: 9 extras, 4 válidos | precisão 0.25 → 0.58
  [34/210] 6.17/estudantes-qwen/10children: 8 extras, 4 válidos | precisão 0.27 → 0.64
  [35/210] 6.17/estudantes-qwen/09mathCompetition: 17 extras, 8 válidos | precisão 0.15 → 0.55
  [36/210] 6.17/estudantes-qwen/13cleanRoom: 7 extras, 3 válidos | precisão 0.22 → 0.56
  [37/210] 6.17/estudantes-qwen/12apples: 10 extras, 8 válidos | precisão 0.09 → 0.82
  [38/210] 6.17/estudantes-qwen/11project: 12 extras, 7 válidos | precisão 0.20 → 0.67
  [39/210] 6.17/estudantes-qwen/15fishStick: 5 extras, 2 válidos | precisão 0.38 → 0.63
  [40/210] 6.17/estudantes-qwen/16bonusQuestion: 7 extras, 4 válidos | precisão 0.22 → 0.67
  [41/210] 6.17/estudantes-qwen/14centimeter: 11 extras, 4 válidos | precisão 0.21 → 0.50
  [42/210] 6.17/estudantes-qwen/17pencils: 5 extras, 4 válidos | precisão 0.38 → 0.88
  [43/210] 6.17/estudantes-qwen/18gum: 7 extras, 5 válidos | precisão 0.36 → 0.82
  [44/210] 6.17/estudantes-qwen/20birthday: 11 extras, 7 válidos | precisão 0.27 → 0.73
  [45/210] 6.17/estudantes-qwen/19Painting: 7 extras, 5 válidos | precisão 0.36 → 0.82
  [46/210] 6.17/estudantes-qwen/21mnm: 12 extras, 8 válidos | precisão 0.25 → 0.75
  [47/210] 6.17/estudantes-qwen/22biscuit: 3 extras, 3 válidos | precisão 0.57 → 1.00
  [48/210] 6.17/estudantes-qwen/23textbookPack: 4 extras, 4 válidos | precisão 0.56 → 1.00
  [49/210] 6.19/custo-beneficio/01tv: 1 extras, 0 válidos | precisão 0.50 → 0.50
  [50/210] 6.19/custo-beneficio/00bubble: 8 extras, 6 válidos | precisão 0.20 → 0.80
  [51/210] 6.19/custo-beneficio/02tv: 3 extras, 1 válidos | precisão 0.25 → 0.50
  [52/210] 6.19/custo-beneficio/03football: 9 extras, 3 válidos | precisão 0.18 → 0.45
  [53/210] 6.19/custo-beneficio/04president: 5 extras, 1 válidos | precisão 0.29 → 0.43
  [54/210] 6.19/custo-beneficio/05music: 5 extras, 4 válidos | precisão 0.29 → 0.86
  [55/210] 6.19/custo-beneficio/06boyschool: 5 extras, 3 válidos | precisão 0.29 → 0.71
  [56/210] 6.19/custo-beneficio/08bowl: 2 extras, 0 válidos | precisão 0.50 → 0.50
  [57/210] 6.19/custo-beneficio/09fence: 6 extras, 2 válidos | precisão 0.25 → 0.50
  [58/210] 6.19/custo-beneficio/10highlighters: 6 extras, 3 válidos | precisão 0.25 → 0.63
  [59/210] 6.19/custo-beneficio/07tomato: 6 extras, 4 válidos | precisão 0.25 → 0.75
  [60/210] 6.19/custo-beneficio/11park: 5 extras, 2 válidos | precisão 0.29 → 0.57
  [61/210] 6.19/custo-beneficio/13pizza: 5 extras, 4 válidos | precisão 0.29 → 0.86
  [62/210] 6.19/custo-beneficio/12park: 5 extras, 3 válidos | precisão 0.29 → 0.71
  [63/210] 6.19/custo-beneficio/14ex: 10 extras, 9 válidos | precisão 0.17 → 0.92
  [64/210] 6.19/custo-beneficio/15baseball: 6 extras, 4 válidos | precisão 0.14 → 0.71
  [65/210] 6.19/custo-beneficio/16muffin: 8 extras, 8 válidos | precisão 0.11 → 1.00
  [66/210] 6.19/custo-beneficio/19gum: 5 extras, 2 válidos | precisão 0.17 → 0.50
  [67/210] 6.19/custo-beneficio/18dozen: 8 extras, 4 válidos | precisão 0.20 → 0.60
  [68/210] 6.19/custo-beneficio/17juice: 8 extras, 4 válidos | precisão 0.11 → 0.56
  [69/210] 6.19/custo-beneficio/20gum: 11 extras, 4 válidos | precisão 0.15 → 0.46
  [70/210] 6.19/custo-beneficio/21project: 9 extras, 7 válidos | precisão 0.18 → 0.82
  [71/210] 6.19/estudantes-qwen/00bubble: 14 extras, 9 válidos | precisão 0.13 → 0.69
  [72/210] 6.19/estudantes-qwen/01tv: 4 extras, 1 válidos | precisão 0.33 → 0.50
  [73/210] 6.19/estudantes-qwen/03football: 6 extras, 2 válidos | precisão 0.25 → 0.50
  [74/210] 6.19/custo-beneficio/22water: 8 extras, 4 válidos | precisão 0.20 → 0.60
  [75/210] 6.19/estudantes-qwen/04president: 10 extras, 5 válidos | precisão 0.17 → 0.58
  [76/210] 6.19/estudantes-qwen/02tv: 8 extras, 4 válidos | precisão 0.20 → 0.60
  [77/210] 6.19/estudantes-qwen/05music: 6 extras, 2 válidos | precisão 0.25 → 0.50
  [78/210] 6.19/estudantes-qwen/06boyschool: 12 extras, 5 válidos | precisão 0.14 → 0.50
  [79/210] 6.19/estudantes-qwen/07tomato: 11 extras, 4 válidos | precisão 0.15 → 0.46
  [80/210] 6.19/estudantes-qwen/09fence: 10 extras, 7 válidos | precisão 0.17 → 0.75
  [81/210] 6.19/estudantes-qwen/08bowl: 9 extras, 3 válidos | precisão 0.18 → 0.45
  [82/210] 6.19/estudantes-qwen/11park: 16 extras, 9 válidos | precisão 0.11 → 0.61
  [83/210] 6.19/estudantes-qwen/10highlighters: 9 extras, 7 válidos | precisão 0.10 → 0.80
  [84/210] 6.19/estudantes-qwen/12park: 8 extras, 6 válidos | precisão 0.20 → 0.80
  [85/210] 6.19/estudantes-qwen/13pizza: 15 extras, 10 válidos | precisão 0.12 → 0.71
  [86/210] 6.19/estudantes-qwen/14ex: 15 extras, 8 válidos | precisão 0.17 → 0.61
  [87/210] 6.19/estudantes-qwen/16muffin: 10 extras, 7 válidos | precisão 0.23 → 0.77
  [88/210] 6.19/estudantes-qwen/17juice: 12 extras, 10 válidos | precisão 0.14 → 0.86
  [89/210] 6.19/estudantes-qwen/15baseball: 11 extras, 4 válidos | precisão 0.15 → 0.46
  [90/210] 6.19/estudantes-qwen/19gum: 13 extras, 5 válidos | precisão 0.19 → 0.50
  [91/210] 6.19/estudantes-qwen/20gum: 18 extras, 7 válidos | precisão 0.10 → 0.45
  [92/210] 6.19/estudantes-qwen/22water: 14 extras, 11 válidos | precisão 0.18 → 0.82
  [93/210] 6.19/estudantes-qwen/21project: 27 extras, 20 válidos | precisão 0.07 → 0.76
  [94/210] 6.18/custo-beneficio/01_1: 5 extras, 2 válidos | precisão 0.17 → 0.50
  [95/210] 6.19/estudantes-qwen/18dozen: 11 extras, 5 válidos | precisão 0.21 → 0.57
  [96/210] 6.18/custo-beneficio/02_2: 10 extras, 1 válidos | precisão 0.00 → 0.10
  [97/210] 6.18/custo-beneficio/04_2: 8 extras, 4 válidos | precisão 0.11 → 0.56
  [98/210] 6.18/custo-beneficio/03_1: 7 extras, 0 válidos | precisão 0.00 → 0.00
  [99/210] 6.18/custo-beneficio/06_1: 7 extras, 4 válidos | precisão 0.22 → 0.67
  [100/210] 6.18/custo-beneficio/05_1: 8 extras, 3 válidos | precisão 0.00 → 0.38
  [101/210] 6.18/custo-beneficio/07_2: 8 extras, 3 válidos | precisão 0.00 → 0.38
  [102/210] 6.18/custo-beneficio/10_2: 4 extras, 1 válidos | precisão 0.20 → 0.40
  [103/210] 6.18/custo-beneficio/08_2: 6 extras, 1 válidos | precisão 0.00 → 0.17
  [104/210] 6.18/custo-beneficio/12_1: 10 extras, 6 válidos | precisão 0.00 → 0.60
  [105/210] 6.18/custo-beneficio/11_1: 9 extras, 4 válidos | precisão 0.00 → 0.44
  [106/210] 6.18/custo-beneficio/13_2: 6 extras, 0 válidos | precisão 0.00 → 0.00
  [107/210] 6.18/custo-beneficio/14_2: 7 extras, 1 válidos | precisão 0.13 → 0.25
  [108/210] 6.18/custo-beneficio/15_1: 8 extras, 4 válidos | precisão 0.00 → 0.50
  [109/210] 6.18/custo-beneficio/16_1: 8 extras, 6 válidos | precisão 0.11 → 0.78
  [110/210] 6.18/custo-beneficio/17_2: 7 extras, 2 válidos | precisão 0.22 → 0.44
  [111/210] 6.18/custo-beneficio/18_2: 5 extras, 0 válidos | precisão 0.00 → 0.00
  [112/210] 6.18/custo-beneficio/19_1: 8 extras, 5 válidos | precisão 0.00 → 0.63
  [113/210] 6.18/custo-beneficio/09_1: 10 extras, 3 válidos | precisão 0.00 → 0.30
  [114/210] 6.18/estudantes-qwen/02_2: 13 extras, 3 válidos | precisão 0.07 → 0.29
  [115/210] 6.18/estudantes-qwen/01_1: 9 extras, 5 válidos | precisão 0.10 → 0.60
  [116/210] 6.18/custo-beneficio/20_2: 8 extras, 1 válidos | precisão 0.00 → 0.13
  [117/210] 6.18/estudantes-qwen/03_1: 9 extras, 3 válidos | precisão 0.25 → 0.50
  [118/210] 6.18/estudantes-qwen/04_2: 14 extras, 7 válidos | precisão 0.07 → 0.53
  [119/210] 6.18/estudantes-qwen/05_1: 11 extras, 5 válidos | precisão 0.15 → 0.54
  [120/210] 6.18/estudantes-qwen/06_1: 9 extras, 4 válidos | precisão 0.10 → 0.50
  [121/210] 6.18/estudantes-qwen/08_2: 13 extras, 1 válidos | precisão 0.13 → 0.20
  [122/210] 6.18/estudantes-qwen/09_1: 8 extras, 4 válidos | precisão 0.00 → 0.50
  [123/210] 6.18/estudantes-qwen/10_2: 13 extras, 8 válidos | precisão 0.13 → 0.67
  [124/210] 6.18/estudantes-qwen/12_1: 11 extras, 7 válidos | precisão 0.08 → 0.67
  [125/210] 6.18/estudantes-qwen/11_1: 13 extras, 4 válidos | precisão 0.13 → 0.40
  [126/210] 6.18/estudantes-qwen/13_2: 20 extras, 3 válidos | precisão 0.13 → 0.26
  [127/210] 6.18/estudantes-qwen/14_2: 14 extras, 6 válidos | precisão 0.07 → 0.47
  [128/210] 6.18/estudantes-qwen/15_1: 10 extras, 7 válidos | precisão 0.09 → 0.73
  [129/210] 6.18/estudantes-qwen/17_2: 11 extras, 4 válidos | precisão 0.15 → 0.46
  [130/210] 6.18/estudantes-qwen/07_2: 13 extras, 4 válidos | precisão 0.13 → 0.40
  [131/210] 6.18/estudantes-qwen/16_1: 19 extras, 12 válidos | precisão 0.05 → 0.65
  [132/210] 6.18/estudantes-qwen/18_2: 25 extras, 9 válidos | precisão 0.04 → 0.38
  [133/210] 6.18/estudantes-qwen/19_1: 13 extras, 5 válidos | precisão 0.00 → 0.38
  [134/210] 6.20/custo-beneficio/01book: 6 extras, 3 válidos | precisão 0.25 → 0.63
  [135/210] 6.18/estudantes-qwen/20_2: 24 extras, 5 válidos | precisão 0.08 → 0.27
  [136/210] 6.20/custo-beneficio/02cheese: 7 extras, 4 válidos | precisão 0.13 → 0.63
  [137/210] 6.20/custo-beneficio/04school: 12 extras, 4 válidos | precisão 0.20 → 0.47
  [138/210] 6.20/custo-beneficio/03chain: 6 extras, 2 válidos | precisão 0.25 → 0.50
  [139/210] 6.20/custo-beneficio/07sandwich: 9 extras, 5 válidos | precisão 0.18 → 0.64
  [140/210] 6.20/custo-beneficio/06fence: 10 extras, 3 válidos | precisão 0.17 → 0.42
  [141/210] 6.20/custo-beneficio/08swimming: 12 extras, 2 válidos | precisão 0.14 → 0.29
  [142/210] 6.20/custo-beneficio/10homework: 11 extras, 7 válidos | precisão 0.15 → 0.69
  [143/210] 6.20/custo-beneficio/09pie: 10 extras, 4 válidos | precisão 0.23 → 0.54
  [144/210] 6.20/custo-beneficio/05height: 8 extras, 2 válidos | precisão 0.20 → 0.40
  [145/210] 6.20/custo-beneficio/11pizza: 9 extras, 3 válidos | precisão 0.25 → 0.50
  [146/210] 6.20/custo-beneficio/12charity: 7 extras, 5 válidos | precisão 0.30 → 0.80
  [147/210] 6.20/custo-beneficio/14candy: 7 extras, 2 válidos | precisão 0.30 → 0.50
  [148/210] 6.20/custo-beneficio/15sauce: 10 extras, 5 válidos | precisão 0.17 → 0.58
  [149/210] 6.20/custo-beneficio/16chemistry: 7 extras, 1 válidos | precisão 0.22 → 0.33
  [150/210] 6.20/custo-beneficio/13school: 14 extras, 6 válidos | precisão 0.13 → 0.50
  [151/210] 6.20/custo-beneficio/19history: 7 extras, 3 válidos | precisão 0.30 → 0.60
  [152/210] 6.20/custo-beneficio/18prize: 5 extras, 2 válidos | precisão 0.29 → 0.57
  [153/210] 6.20/estudantes-qwen/01book: 15 extras, 4 válidos | precisão 0.06 → 0.31
  [154/210] 6.20/custo-beneficio/17salad: 9 extras, 2 válidos | precisão 0.18 → 0.36
  [155/210] 6.20/estudantes-qwen/02cheese: 13 extras, 3 válidos | precisão 0.19 → 0.38
  [156/210] 6.20/estudantes-qwen/03chain: 10 extras, 6 válidos | precisão 0.29 → 0.71
  [157/210] 6.20/estudantes-qwen/06fence: 8 extras, 4 válidos | precisão 0.33 → 0.67
  [158/210] 6.20/estudantes-qwen/05height: 12 extras, 7 válidos | precisão 0.20 → 0.67
  [159/210] 6.20/estudantes-qwen/04school: 12 extras, 3 válidos | precisão 0.25 → 0.44
  [160/210] 6.20/estudantes-qwen/07sandwich: 10 extras, 4 válidos | precisão 0.23 → 0.54
  [161/210] 6.20/estudantes-qwen/08swimming: 14 extras, 6 válidos | precisão 0.22 → 0.56
  [162/210] 6.20/estudantes-qwen/10homework: 13 extras, 5 válidos | precisão 0.24 → 0.53
  [163/210] 6.20/estudantes-qwen/09pie: 9 extras, 4 válidos | precisão 0.25 → 0.58
  [164/210] 6.20/estudantes-qwen/12charity: 8 extras, 3 válidos | precisão 0.27 → 0.55
  [165/210] 6.20/estudantes-qwen/11pizza: 8 extras, 4 válidos | precisão 0.33 → 0.67
  [166/210] 6.20/estudantes-qwen/13school: 13 extras, 3 válidos | precisão 0.19 → 0.38
  [167/210] 6.20/estudantes-qwen/14candy: 14 extras, 5 válidos | precisão 0.18 → 0.47
  [168/210] 6.20/estudantes-qwen/15sauce: 11 extras, 5 válidos | precisão 0.15 → 0.54
  [169/210] 6.20/estudantes-qwen/16chemistry: 14 extras, 4 válidos | precisão 0.22 → 0.44
  [170/210] 6.20/estudantes-qwen/19history: 6 extras, 3 válidos | precisão 0.33 → 0.67
  [171/210] 6.20/estudantes-qwen/18prize: 11 extras, 4 válidos | precisão 0.27 → 0.53
  [172/210] 6.20/estudantes-qwen/17salad: 12 extras, 5 válidos | precisão 0.20 → 0.53
  [173/210] 8.12/custo-beneficio/bands collection: 19 extras, 9 válidos | precisão 0.00 → 0.47
  [174/210] 8.12/custo-beneficio/animal shelter: 16 extras, 4 válidos | precisão 0.00 → 0.25
  [175/210] 8.12/custo-beneficio/CD sales: 18 extras, 8 válidos | precisão 0.14 → 0.52
  [176/210] 8.12/custo-beneficio/bracelets: 14 extras, 6 válidos | precisão 0.13 → 0.50
  [177/210] 8.12/custo-beneficio/chemical solution: 18 extras, 8 válidos | precisão 0.05 → 0.47
  [178/210] 8.12/custo-beneficio/concert: 11 extras, 5 válidos | precisão 0.21 → 0.57
  [179/210] 8.12/custo-beneficio/cookies: 15 extras, 3 válidos | precisão 0.06 → 0.25
  [180/210] 8.12/custo-beneficio/deer in garden: 18 extras, 12 válidos | precisão 0.05 → 0.68
  [181/210] 8.12/custo-beneficio/kennel: 15 extras, 4 válidos | precisão 0.00 → 0.27
  [182/210] 8.12/custo-beneficio/mileage: 14 extras, 2 válidos | precisão 0.18 → 0.29
  [183/210] 8.12/custo-beneficio/double-booked plane: 25 extras, 12 válidos | precisão 0.07 → 0.52
  [184/210] 8.12/custo-beneficio/office picnic: 12 extras, 4 válidos | precisão 0.20 → 0.47
  [185/210] 8.12/custo-beneficio/pizza party: 9 extras, 4 válidos | precisão 0.25 → 0.58
  [186/210] 8.12/custo-beneficio/shed: 10 extras, 4 válidos | precisão 0.00 → 0.40
  [187/210] 8.12/custo-beneficio/texting: 14 extras, 6 válidos | precisão 0.13 → 0.50
  [188/210] 8.12/custo-beneficio/stick house: 13 extras, 5 válidos | precisão 0.07 → 0.43
  [189/210] 8.12/custo-beneficio/tree height: 12 extras, 6 válidos | precisão 0.20 → 0.60
  [190/210] 8.12/custo-beneficio/toy robot: 18 extras, 6 válidos | precisão 0.00 → 0.33
  [191/210] 8.12/custo-beneficio/widgets: 13 extras, 5 válidos | precisão 0.07 → 0.43
  [192/210] 8.12/estudantes-qwen/animal shelter: 14 extras, 8 válidos | precisão 0.07 → 0.60
  [193/210] 8.12/estudantes-qwen/CD sales: 19 extras, 9 válidos | precisão 0.10 → 0.52
  [194/210] 8.12/estudantes-qwen/bracelets: 17 extras, 8 válidos | precisão 0.11 → 0.53
  [195/210] 8.12/estudantes-qwen/concert: 13 extras, 6 válidos | precisão 0.19 → 0.56
  [196/210] 8.12/estudantes-qwen/bands collection: 9 extras, 2 válidos | precisão 0.10 → 0.30
  [197/210] 8.12/estudantes-qwen/chemical solution: 19 extras, 6 válidos | precisão 0.05 → 0.35
  [198/210] 8.12/estudantes-qwen/deer in garden: 15 extras, 7 válidos | precisão 0.06 → 0.50
  [199/210] 8.12/estudantes-qwen/cookies: 7 extras, 5 válidos | precisão 0.13 → 0.75
  [200/210] 8.12/estudantes-qwen/double-booked plane: 18 extras, 5 válidos | precisão 0.05 → 0.32
  [201/210] 8.12/estudantes-qwen/office picnic: 16 extras, 6 válidos | precisão 0.06 → 0.41
  [202/210] 8.12/estudantes-qwen/mileage: 22 extras, 10 válidos | precisão 0.08 → 0.50
  [203/210] 8.12/estudantes-qwen/kennel: 16 extras, 8 válidos | precisão 0.11 → 0.56
  [204/210] 8.12/estudantes-qwen/shed: 11 extras, 3 válidos | precisão 0.15 → 0.38
  [205/210] 8.12/estudantes-qwen/stick house: 23 extras, 11 válidos | precisão 0.08 → 0.52
  [206/210] 8.12/estudantes-qwen/pizza party: 20 extras, 8 válidos | precisão 0.00 → 0.40
  [207/210] 8.12/estudantes-qwen/texting: 27 extras, 10 válidos | precisão 0.07 → 0.41
  [208/210] 8.12/estudantes-qwen/toy robot: 23 extras, 10 válidos | precisão 0.08 → 0.48
  [209/210] 8.12/estudantes-qwen/tree height: 13 extras, 5 válidos | precisão 0.07 → 0.43
  [210/210] 8.12/estudantes-qwen/widgets: 14 extras, 6 válidos | precisão 0.13 → 0.50
──────────────────────────────────────────────────────────────────────────
  especialista (calibração): 0.501 (n=676)
  rejeição de distratores:   0.957 (n=820)
  validade dos EXTRAS:       0.446 (n=2104)
  GATE: REPROVADO — números não utilizáveis
  salvo em resultados/juizo-2026-08-19/juiz-extras-deepseek-deepseek-v4-flash.json
EXIT=0
