JUIZ DE ESTADOS — 210 exercício×braço, 577 estados extras, 2979 itens
  juiz: deepseek/deepseek-v4-flash | custo estimado ~US$ 3.01
  [54/210] 6.19/custo-beneficio/04president: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [55/210] 6.19/custo-beneficio/07tomato: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [56/210] 6.19/custo-beneficio/06boyschool: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [57/210] 6.19/custo-beneficio/08bowl: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [58/210] 6.19/custo-beneficio/11park: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [59/210] 6.19/custo-beneficio/10highlighters: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [60/210] 6.19/custo-beneficio/09fence: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [61/210] 6.19/custo-beneficio/12park: 5 extras, 0 válidos | precisão 0.44 → 0.44
  [62/210] 6.19/custo-beneficio/14ex: 4 extras, 2 válidos | precisão 0.43 → 0.71
  [63/210] 6.19/custo-beneficio/13pizza: 3 extras, 1 válidos | precisão 0.50 → 0.67
  [64/210] 6.19/custo-beneficio/15baseball: 6 extras, 1 válidos | precisão 0.33 → 0.44
  [65/210] 6.19/custo-beneficio/18dozen: 6 extras, 3 válidos | precisão 0.40 → 0.70
  [66/210] 6.19/custo-beneficio/16muffin: 4 extras, 1 válidos | precisão 0.50 → 0.63
  [67/210] 6.19/custo-beneficio/19gum: 5 extras, 1 válidos | precisão 0.38 → 0.50
  [68/210] 6.19/custo-beneficio/20gum: 5 extras, 2 válidos | precisão 0.38 → 0.63
  [69/210] 6.19/custo-beneficio/17juice: 3 extras, 0 válidos | precisão 0.57 → 0.57
  [70/210] 6.19/custo-beneficio/22water: 6 extras, 1 válidos | precisão 0.33 → 0.44
  [71/210] 6.19/estudantes-qwen/00bubble: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [72/210] 6.19/estudantes-qwen/01tv: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [73/210] 6.19/custo-beneficio/21project: 5 extras, 2 válidos | precisão 0.38 → 0.63
  [74/210] 6.19/estudantes-qwen/02tv: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [75/210] 6.19/estudantes-qwen/04president: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [76/210] 6.19/estudantes-qwen/03football: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [77/210] 6.19/estudantes-qwen/05music: 0 extras, 0 válidos | precisão 1.00 → 1.00
