JUIZ DE ESTADOS — 210 exercício×braço, 577 estados extras, 2979 itens
  juiz: z-ai/glm-4.5 | custo estimado ~US$ 3.01
  [54/210] 6.19/custo-beneficio/06boyschool: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [55/210] 6.19/custo-beneficio/07tomato: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [56/210] 6.19/custo-beneficio/08bowl: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [57/210] 6.19/custo-beneficio/09fence: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [58/210] 6.19/custo-beneficio/10highlighters: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [59/210] 6.19/custo-beneficio/11park: 1 extras, 1 válidos | precisão 0.80 → 1.00
  [60/210] 6.19/custo-beneficio/13pizza: 3 extras, 1 válidos | precisão 0.50 → 0.67
  [61/210] 6.19/custo-beneficio/12park: 5 extras, 1 válidos | precisão 0.44 → 0.56
  [62/210] 6.19/custo-beneficio/15baseball: 6 extras, 0 válidos | precisão 0.33 → 0.33
  [63/210] 6.19/custo-beneficio/14ex: 4 extras, 1 válidos | precisão 0.43 → 0.57
  [64/210] 6.19/custo-beneficio/16muffin: 4 extras, 1 válidos | precisão 0.50 → 0.63
  [65/210] 6.19/custo-beneficio/17juice: 3 extras, 0 válidos | precisão 0.57 → 0.57
  [66/210] 6.19/custo-beneficio/18dozen: 6 extras, 3 válidos | precisão 0.40 → 0.70
  [67/210] 6.19/custo-beneficio/19gum: 5 extras, 1 válidos | precisão 0.38 → 0.50
  [68/210] 6.19/custo-beneficio/21project: 5 extras, 2 válidos | precisão 0.38 → 0.63
  [69/210] 6.19/custo-beneficio/22water: 6 extras, 2 válidos | precisão 0.33 → 0.56
  [70/210] 6.19/estudantes-qwen/00bubble: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [71/210] 6.19/estudantes-qwen/01tv: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [72/210] 6.19/estudantes-qwen/02tv: 1 extras, 1 válidos | precisão 0.80 → 1.00
  [73/210] 6.19/estudantes-qwen/03football: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [74/210] 6.19/estudantes-qwen/04president: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [75/210] 6.19/estudantes-qwen/05music: 0 extras, 0 válidos | precisão 1.00 → 1.00
  [76/210] 6.19/custo-beneficio/00bubble: 1 extras, 0 válidos | precisão 0.80 → 0.80
  [77/210] 6.19/estudantes-qwen/07tomato: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [78/210] 6.19/estudantes-qwen/06boyschool: 4 extras, 0 válidos | precisão 0.50 → 0.50
  [79/210] 6.19/estudantes-qwen/09fence: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [80/210] 6.19/estudantes-qwen/10highlighters: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [81/210] 6.19/estudantes-qwen/11park: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [82/210] 6.19/estudantes-qwen/12park: 6 extras, 1 válidos | precisão 0.33 → 0.44
  [83/210] 6.19/custo-beneficio/20gum: 5 extras, 1 válidos | precisão 0.38 → 0.50
  [84/210] 6.19/estudantes-qwen/13pizza: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [85/210] 6.19/estudantes-qwen/14ex: 3 extras, 1 válidos | precisão 0.57 → 0.71
  [86/210] 6.19/estudantes-qwen/15baseball: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [87/210] 6.19/estudantes-qwen/17juice: 3 extras, 1 válidos | precisão 0.57 → 0.71
  [88/210] 6.19/estudantes-qwen/16muffin: 3 extras, 2 válidos | precisão 0.57 → 0.86
  [89/210] 6.19/estudantes-qwen/08bowl: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [90/210] 6.19/estudantes-qwen/19gum: 5 extras, 1 válidos | precisão 0.44 → 0.56
  [91/210] 6.19/estudantes-qwen/20gum: 5 extras, 1 válidos | precisão 0.38 → 0.50
  [92/210] 6.19/estudantes-qwen/21project: 6 extras, 1 válidos | precisão 0.33 → 0.44
  [93/210] 6.18/custo-beneficio/01_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [94/210] 6.18/custo-beneficio/02_2: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [95/210] 6.18/custo-beneficio/03_1: 3 extras, 1 válidos | precisão 0.50 → 0.67
  [96/210] 6.19/estudantes-qwen/22water: 5 extras, 2 válidos | precisão 0.38 → 0.63
  [97/210] 6.19/estudantes-qwen/18dozen: 5 extras, 3 válidos | precisão 0.44 → 0.78
  [98/210] 6.18/custo-beneficio/04_2: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [99/210] 6.18/custo-beneficio/06_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [100/210] 6.18/custo-beneficio/05_1: 2 extras, 0 válidos | precisão 0.50 → 0.50
  [101/210] 6.18/custo-beneficio/07_2: 3 extras, 2 válidos | precisão 0.50 → 0.83
  [102/210] 6.18/custo-beneficio/09_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [103/210] 6.18/custo-beneficio/08_2: 3 extras, 2 válidos | precisão 0.50 → 0.83
  [104/210] 6.18/custo-beneficio/12_1: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [105/210] 6.18/custo-beneficio/13_2: 4 extras, 2 válidos | precisão 0.43 → 0.71
  [106/210] 6.18/custo-beneficio/14_2: 4 extras, 1 válidos | precisão 0.43 → 0.57
  [107/210] 6.18/custo-beneficio/10_2: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [108/210] 6.18/custo-beneficio/16_1: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [109/210] 6.18/custo-beneficio/17_2: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [110/210] 6.18/custo-beneficio/18_2: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [111/210] 6.18/custo-beneficio/19_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [112/210] 6.18/custo-beneficio/20_2: 3 extras, 2 válidos | precisão 0.50 → 0.83
  [113/210] 6.18/custo-beneficio/15_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [114/210] 6.18/custo-beneficio/11_1: 1 extras, 0 válidos | precisão 0.75 → 0.75
  [115/210] 6.18/estudantes-qwen/02_2: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [116/210] 6.18/estudantes-qwen/04_2: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [117/210] 6.18/estudantes-qwen/05_1: 2 extras, 0 válidos | precisão 0.50 → 0.50
  [118/210] 6.18/estudantes-qwen/06_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [119/210] 6.18/estudantes-qwen/01_1: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [120/210] 6.18/estudantes-qwen/07_2: 4 extras, 3 válidos | precisão 0.43 → 0.86
  [121/210] 6.18/estudantes-qwen/08_2: 7 extras, 3 válidos | precisão 0.30 → 0.60
  [122/210] 6.18/estudantes-qwen/09_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [123/210] 6.18/estudantes-qwen/11_1: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [124/210] 6.18/estudantes-qwen/03_1: 6 extras, 3 válidos | precisão 0.33 → 0.67
  [125/210] 6.18/estudantes-qwen/10_2: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [126/210] 6.18/estudantes-qwen/13_2: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [127/210] 6.18/estudantes-qwen/12_1: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [128/210] 6.18/estudantes-qwen/15_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [129/210] 6.18/estudantes-qwen/17_2: 4 extras, 0 válidos | precisão 0.43 → 0.43
  [130/210] 6.18/estudantes-qwen/14_2: 7 extras, 2 válidos | precisão 0.30 → 0.50
  [131/210] 6.18/estudantes-qwen/19_1: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [132/210] 6.18/estudantes-qwen/16_1: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [133/210] 6.18/estudantes-qwen/20_2: 7 extras, 2 válidos | precisão 0.30 → 0.50
  [134/210] 6.20/custo-beneficio/01book: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [135/210] 6.20/custo-beneficio/02cheese: 2 extras, 1 válidos | precisão 0.71 → 0.86
  [136/210] 6.20/custo-beneficio/04school: 2 extras, 0 válidos | precisão 0.60 → 0.60
  [137/210] 6.20/custo-beneficio/03chain: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [138/210] 6.18/estudantes-qwen/18_2: 7 extras, 1 válidos | precisão 0.30 → 0.40
  [139/210] 6.20/custo-beneficio/06fence: 1 extras, 0 válidos | precisão 0.83 → 0.83
  [140/210] 6.20/custo-beneficio/08swimming: 2 extras, 1 válidos | precisão 0.71 → 0.86
  [141/210] 6.20/custo-beneficio/09pie: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [142/210] 6.20/custo-beneficio/05height: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [143/210] 6.20/custo-beneficio/11pizza: 2 extras, 1 válidos | precisão 0.67 → 0.83
  [144/210] 6.20/custo-beneficio/12charity: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [145/210] 6.20/custo-beneficio/10homework: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [146/210] 6.20/custo-beneficio/13school: 3 extras, 0 válidos | precisão 0.63 → 0.63
  [147/210] 6.20/custo-beneficio/14candy: 2 extras, 1 válidos | precisão 0.67 → 0.83
  [148/210] 6.20/custo-beneficio/15sauce: 3 extras, 0 válidos | precisão 0.57 → 0.57
  [149/210] 6.20/custo-beneficio/16chemistry: 1 extras, 0 válidos | precisão 0.83 → 0.83
  [150/210] 6.20/custo-beneficio/17salad: 2 extras, 1 válidos | precisão 0.67 → 0.83
  [151/210] 6.20/custo-beneficio/18prize: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [152/210] 6.20/custo-beneficio/19history: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [153/210] 6.20/estudantes-qwen/01book: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [154/210] 6.20/estudantes-qwen/02cheese: 4 extras, 1 válidos | precisão 0.56 → 0.67
  [155/210] 6.20/estudantes-qwen/04school: 4 extras, 0 válidos | precisão 0.50 → 0.50
  [156/210] 6.20/estudantes-qwen/03chain: 3 extras, 1 válidos | precisão 0.63 → 0.75
  [157/210] 6.20/estudantes-qwen/06fence: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [158/210] 6.20/custo-beneficio/07sandwich: 1 extras, 0 válidos | precisão 0.83 → 0.83
  [159/210] 6.20/estudantes-qwen/07sandwich: 1 extras, 0 válidos | precisão 0.83 → 0.83
  [160/210] 6.20/estudantes-qwen/05height: 4 extras, 0 válidos | precisão 0.56 → 0.56
  [161/210] 6.20/estudantes-qwen/08swimming: 3 extras, 1 válidos | precisão 0.63 → 0.75
  [162/210] 6.20/estudantes-qwen/11pizza: 4 extras, 0 válidos | precisão 0.50 → 0.50
  [163/210] 6.20/estudantes-qwen/12charity: 1 extras, 0 válidos | precisão 0.83 → 0.83
  [164/210] 6.20/estudantes-qwen/13school: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [165/210] 6.20/estudantes-qwen/10homework: 5 extras, 1 válidos | precisão 0.50 → 0.60
  [166/210] 6.20/estudantes-qwen/15sauce: 4 extras, 0 válidos | precisão 0.50 → 0.50
  [167/210] 6.20/estudantes-qwen/09pie: 6 extras, 0 válidos | precisão 0.40 → 0.40
  [168/210] 6.20/estudantes-qwen/16chemistry: 2 extras, 0 válidos | precisão 0.71 → 0.71
  [169/210] 6.20/estudantes-qwen/17salad: 2 extras, 1 válidos | precisão 0.67 → 0.83
  [170/210] 6.20/estudantes-qwen/19history: 1 extras, 0 válidos | precisão 0.83 → 0.83
  [171/210] 6.20/estudantes-qwen/14candy: 3 extras, 1 válidos | precisão 0.57 → 0.71
  [172/210] 6.20/estudantes-qwen/18prize: 3 extras, 0 válidos | precisão 0.57 → 0.57
  [173/210] 8.12/custo-beneficio/CD sales: 3 extras, 0 válidos | precisão 0.63 → 0.63
  [174/210] 8.12/custo-beneficio/animal shelter: 4 extras, 0 válidos | precisão 0.33 → 0.33
  [175/210] 8.12/custo-beneficio/chemical solution: 4 extras, 0 válidos | precisão 0.56 → 0.56
  [176/210] 8.12/custo-beneficio/bracelets: 3 extras, 0 válidos | precisão 0.63 → 0.63
  [177/210] 8.12/custo-beneficio/cookies: 9 extras, 0 válidos | precisão 0.10 → 0.10
  [178/210] 8.12/custo-beneficio/bands collection: 6 extras, 0 válidos | precisão 0.50 → 0.50
  [179/210] 8.12/custo-beneficio/double-booked plane: 10 extras, 1 válidos | precisão 0.23 → 0.31
  [180/210] 8.12/custo-beneficio/deer in garden: 7 extras, 0 válidos | precisão 0.13 → 0.13
  [181/210] 8.12/custo-beneficio/mileage: 4 extras, 0 válidos | precisão 0.56 → 0.56
  [182/210] 8.12/custo-beneficio/concert: 3 extras, 0 válidos | precisão 0.57 → 0.57
  [183/210] 8.12/custo-beneficio/kennel: 8 extras, 0 válidos | precisão 0.00 → 0.00
  [184/210] 8.12/custo-beneficio/shed: 6 extras, 0 válidos | precisão 0.25 → 0.25
  [185/210] 8.12/custo-beneficio/pizza party: 2 extras, 0 válidos | precisão 0.67 → 0.67
  [186/210] 8.12/custo-beneficio/office picnic: 5 extras, 0 válidos | precisão 0.38 → 0.38
  [187/210] 8.12/custo-beneficio/texting: 3 extras, 1 válidos | precisão 0.50 → 0.67
  [188/210] 8.12/custo-beneficio/tree height: 3 extras, 0 válidos | precisão 0.50 → 0.50
  [189/210] 8.12/custo-beneficio/stick house: 3 extras, 0 válidos | precisão 0.63 → 0.63
  [190/210] 8.12/custo-beneficio/toy robot: 4 extras, 0 válidos | precisão 0.50 → 0.50
  [191/210] 8.12/estudantes-qwen/CD sales: 1 extras, 0 válidos | precisão 0.88 → 0.88
  [192/210] 8.12/estudantes-qwen/animal shelter: 3 extras, 0 válidos | precisão 0.70 → 0.70
  [193/210] 8.12/estudantes-qwen/bands collection: 2 extras, 0 válidos | precisão 0.78 → 0.78
  [194/210] 8.12/estudantes-qwen/bracelets: 3 extras, 0 válidos | precisão 0.70 → 0.70
  [195/210] 8.12/estudantes-qwen/concert: 5 extras, 0 válidos | precisão 0.50 → 0.50
  [196/210] 8.12/estudantes-qwen/cookies: 8 extras, 0 válidos | precisão 0.47 → 0.47
  [197/210] 8.12/estudantes-qwen/chemical solution: 3 extras, 0 válidos | precisão 0.70 → 0.70
  [198/210] 8.12/estudantes-qwen/deer in garden: 2 extras, 0 válidos | precisão 0.78 → 0.78
  [199/210] 8.12/estudantes-qwen/double-booked plane: 4 extras, 0 válidos | precisão 0.60 → 0.60
  [200/210] 8.12/estudantes-qwen/mileage: 1 extras, 0 válidos | precisão 0.88 → 0.88
  [201/210] 8.12/estudantes-qwen/office picnic: 3 extras, 0 válidos | precisão 0.70 → 0.70
  [202/210] 8.12/estudantes-qwen/pizza party: 3 extras, 1 válidos | precisão 0.70 → 0.80
  [203/210] 8.12/estudantes-qwen/kennel: 2 extras, 0 válidos | precisão 0.75 → 0.75
  [204/210] 8.12/custo-beneficio/widgets: 5 extras, 1 válidos | precisão 0.38 → 0.50
  [205/210] 8.12/estudantes-qwen/stick house: 5 extras, 0 válidos | precisão 0.58 → 0.58
  [206/210] 8.12/estudantes-qwen/shed: 1 extras, 0 válidos | precisão 0.88 → 0.88
  [207/210] 8.12/estudantes-qwen/texting: 5 extras, 0 válidos | precisão 0.55 → 0.55
  [208/210] 8.12/estudantes-qwen/tree height: 3 extras, 1 válidos | precisão 0.67 → 0.78
  [209/210] 8.12/estudantes-qwen/toy robot: 6 extras, 0 válidos | precisão 0.54 → 0.54
  [210/210] 8.12/estudantes-qwen/widgets: 3 extras, 1 válidos | precisão 0.63 → 0.75
──────────────────────────────────────────────────────────────────────────
  especialista: 0.5161090458488228 (n=1614) | rejeição distratores: 0.741 (n=788)
  validade dos ESTADOS extras: 0.1317157712305026 (n=577)
  GATE: REPROVADO | precisão estrutural 0.6111 → julgada 0.6600
EXIT=0
